Note_ID,Note_Name,Chemical_Name,CAS,Volatility_Class,Odor_Strength,Accords_Used_In,Chemical_Family,Odor_Family,Key_Nuances,Molecular_Weight,Boiling_Point_C,Vapor_Pressure,LogP,Odor_Threshold_mg_L,Tenacity_hrs,Substantivity_Index,Flash_Point_C,Solubility,Natural_Source,Short_Description
NOTE-0509,Linalool,Linalool,78-70-6,Top / Heart,Medium,"Floral, Citrus, Aromatic",Terpenoid Alcohol,Floral / Fresh,"Fresh, citrusy, clean, floral",154.25,198,Medium,2.9,0.01,2–4,25.0,75.0,Alcohol / Oil,"Lavender, rosewood",Clean fresh-floral note with citrus brightness
NOTE-0040,Bergamot,Limonene-rich Oil,8007-75-8,Top,High,"Citrus, Aromatic",Terpene Hydrocarbon,Citrus,"Bright, zesty, fresh",136.24,176,High,4.2,0.02,1–2,15.0,50.0,Alcohol / Oil,Bergamot peel,Sparkling citrus top note
NOTE-0492,Jasmine Absolute,Benzyl acetate rich,84776-64-7,Heart,High,"Floral, Oriental",Aromatic Ester,White Floral,"Sweet, narcotic, floral",164.2,290,Low,2.3,0.005,6–8,45.0,110.0,Alcohol / Oil,Jasmine flowers,Rich sensual white floral
NOTE-0402,Tuberose,Methyl benzoate rich,8007-51-4,Heart,High,"Floral, Gourmand",Aromatic Ester,White Floral,"Creamy, sweet, floral",136.15,199,Medium,2.1,0.003,6–8,50.0,95.0,Alcohol / Oil,Tuberose flower,Creamy intoxicating floral
NOTE-0301,Patchouli,Patchoulol,8014-09-3,Base,Strong,"Woody, Oriental",Sesquiterpene Alcohol,Woody / Earthy,"Earthy, woody, dark",222.37,280,Low,4.5,0.001,12–24,80.0,100.0,Oil,Patchouli leaves,Deep earthy woody base
NOTE-0021,Ambroxan,Ambroxide,6790-58-5,Base,Strong,"Amber, Woody",Amber Molecule,Amber / Woody,"Warm, musky, amber",236.39,273,Low,4.0,0.0005,24+,90.0,120.0,Oil,Synthetic,Warm long-lasting amber note
NOTE-0407,Vanilla,Vanillin,121-33-5,Base,Medium,"Gourmand, Amber",Phenolic Aldehyde,Sweet / Gourmand,"Sweet, creamy, warm",152.15,285,Low,1.2,0.002,8–12,60.0,147.0,Alcohol,Vanilla bean,Sweet creamy gourmand base
NOTE-0104,Cinnamon,Cinnamaldehyde,104-55-2,Heart,Strong,"Spicy, Oriental",Aromatic Aldehyde,Spicy,"Warm, spicy, sweet",132.16,248,Medium,2.1,0.03,4–6,40.0,71.0,Alcohol,Cinnamon bark,Warm spicy heart note
NOTE-0119,Clove,Eugenol,97-53-0,Heart,Strong,"Spicy, Oriental",Phenylpropanoid,Spicy,"Hot, sweet, clove-like",164.2,254,Medium,2.3,0.02,6–8,50.0,110.0,Alcohol,Clove buds,Intense warm spicy note
NOTE-0277,Nutmeg,Myristicin rich,607-91-0,Heart,Medium,"Spicy, Woody",Phenylpropanoid,Spicy / Warm,"Warm, nutty, sweet",192.21,276,Low,3.1,0.01,4–6,45.0,102.0,Alcohol,Nutmeg seed,Warm nutty spice
NOTE-0222,Lavender,"Linalool, Linalyl Acetate rich",8000-28-0,Top / Heart,Medium,"Aromatic, Fougere",Terpenoid Ester,Aromatic / Floral,"Fresh, herbal, floral",154.25,198,Medium,2.8,0.02,3–5,30.0,70.0,Alcohol / Oil,Lavender flowers,Classic aromatic floral note
NOTE-0344,Rosemary,"1,8-Cineole rich",8000-25-7,Top,Medium,"Aromatic, Fougere",Terpenoid Oxide,Aromatic / Herbal,"Sharp, camphorous, fresh",154.25,176,High,2.7,0.03,1–2,20.0,49.0,Alcohol / Oil,Rosemary leaves,Fresh herbal aromatic top
NOTE-0350,Sage,Thujone rich,8022-56-8,Heart,Medium,"Aromatic, Woody",Terpenoid Ketone,Aromatic / Herbal,"Dry, herbal, earthy",152.23,200,Medium,2.5,0.02,3–4,28.0,65.0,Alcohol / Oil,Sage leaves,Dry herbal aromatic note
NOTE-0388,Thyme,Thymol rich,8007-46-3,Heart,Medium,"Aromatic, Spicy",Phenolic Terpene,Aromatic / Spicy,"Warm, herbal, spicy",150.22,232,Medium,3.3,0.01,3–5,35.0,74.0,Alcohol / Oil,Thyme herb,Warm herbal aromatic
NOTE-0036,Basil,Estragole rich,8015-73-4,Top,Medium,"Aromatic, Green",Phenylpropanoid,Green / Aromatic,"Sweet, green, herbal",148.2,216,Medium,2.9,0.02,1–3,22.0,68.0,Alcohol / Oil,Basil leaves,Fresh green herbal note
NOTE-0094,Cedarwood,Cedrol,8000-27-9,Base,Medium,"Woody, Fougere",Sesquiterpene Alcohol,Woody / Dry,"Dry, pencil-like, woody",222.37,260,Low,4.6,0.001,12–18,75.0,93.0,Oil,Cedarwood,Dry woody structural base
NOTE-0354,Sandalwood,Santalol,8006-87-9,Base,Strong,"Woody, Oriental",Sesquiterpene Alcohol,Woody / Creamy,"Creamy, soft, woody",220.35,300,Low,4.3,0.0008,24+,85.0,105.0,Oil,Sandalwood tree,Smooth creamy woody base
NOTE-0416,Vetiver,Vetiverol rich,8016-96-4,Base,Strong,"Woody, Earthy",Sesquiterpene Alcohol,Woody / Earthy,"Smoky, earthy, dry",222.37,280,Low,4.1,0.0007,24+,90.0,100.0,Oil,Vetiver roots,Smoky earthy woody base
NOTE-0280,Oakmoss,Atranol rich,90028-68-5,Base,Medium,"Fougere, Chypre",Aromatic Phenol,Mossy / Earthy,"Damp, green, mossy",168.19,270,Low,3.8,0.0005,12–24,85.0,96.0,Alcohol,Oakmoss lichen,Classic fougere base
NOTE-0169,Galbanum,Galbanic acids,8023-91-4,Top / Heart,Strong,"Green, Aromatic",Resin / Terpenoid,Green / Resinous,"Sharp, green, bitter",170.25,220,Medium,3.4,0.01,4–6,40.0,72.0,Alcohol / Oil,Galbanum resin,Intense green bitter note
NOTE-0081,Cardamom,"1,8-Cineole rich",8000-66-6,Top / Heart,Medium,"Spicy, Aromatic",Terpenoid Oxide,Spicy / Aromatic,"Fresh, spicy, green",154.25,176,High,2.8,0.02,2–4,30.0,49.0,Alcohol / Oil,Cardamom pods,Fresh green spicy note
NOTE-0053,Black Pepper,Piperine rich,8006-82-4,Top / Heart,Medium,"Spicy, Woody",Alkaloid / Terpene,Spicy / Woody,"Dry, sharp, spicy",285.34,250,Medium,3.2,0.03,3–5,35.0,87.0,Alcohol / Oil,Peppercorns,Sharp dry spicy note
NOTE-0172,Ginger,Zingerone rich,8007-08-7,Top / Heart,Medium,"Spicy, Citrus",Phenolic Ketone,Spicy / Fresh,"Warm, fresh, zesty",194.23,295,Medium,3.1,0.02,2–4,28.0,71.0,Alcohol / Oil,Ginger root,Fresh warm spicy
NOTE-0130,Coriander,Linalool rich,8008-52-4,Top,Medium,"Spicy, Citrus",Terpenoid Alcohol,Spicy / Citrus,"Citrus, spicy, woody",154.25,198,Medium,2.6,0.02,1–3,22.0,67.0,Alcohol / Oil,Coriander seeds,Citrus-spicy top note
NOTE-0311,Petitgrain,Linalyl acetate rich,8014-17-3,Top,Medium,"Green, Citrus",Terpenoid Ester,Green / Citrus,"Green, bitter, fresh",196.29,220,Medium,3.0,0.02,1–3,25.0,73.0,Alcohol / Oil,Orange leaves,Bitter green citrus
NOTE-0275,Neroli,Linalool rich,8016-38-4,Top / Heart,Medium,"Floral, Citrus",Terpenoid Alcohol,Floral / Citrus,"Fresh, floral, green",154.25,198,Medium,2.7,0.01,3–5,32.0,70.0,Alcohol / Oil,Orange blossom,Fresh floral citrus
NOTE-0286,Orange Blossom,Benzyl acetate rich,8016-38-4,Heart,High,"Floral, Oriental",Aromatic Ester,White Floral,"Sweet, floral, honeyed",164.2,290,Low,2.4,0.005,6–8,50.0,110.0,Alcohol / Oil,Orange flowers,Rich white floral
NOTE-0194,Heliotrope,Piperonal,120-57-0,Heart,Medium,"Powdery, Gourmand",Aromatic Aldehyde,Powdery / Floral,"Powdery, almond, sweet",150.13,263,Low,2.0,0.01,4–6,40.0,110.0,Alcohol,Synthetic / natural isolate,Soft powdery floral
NOTE-0670,Iris (Orris),Irones,90045-89-9,Base,Medium,"Powdery, Woody",Ketone,Powdery / Woody,"Powdery, violet, earthy",206.33,280,Low,3.5,0.0007,12–24,85.0,120.0,Alcohol,Orris root,Elegant powdery base
NOTE-0671,Musk (Synthetic),Galaxolide,1222-05-5,Base,Medium,"Musk, Powdery",Polycyclic Musk,Musky / Clean,"Clean, soft, musky",258.4,270,Low,5.9,0.0005,24+,95.0,140.0,Alcohol,Synthetic,Clean long-lasting musk
NOTE-0039,Benzoin,Benzoic acid rich,9000-05-9,Base,Medium,"Amber, Oriental",Resin / Balsam,Amber / Sweet,"Sweet, balsamic, vanilla-like",122.12,249,Low,1.9,0.001,12–24,80.0,135.0,Alcohol / Oil,Benzoin resin,Warm balsamic resin
NOTE-0220,Labdanum,Labdanic acids,8016-26-0,Base,Strong,"Amber, Chypre",Resin / Terpenoid,Amber / Resinous,"Warm, leathery, sweet",204.3,260,Low,4.2,0.0008,24+,90.0,110.0,Alcohol / Oil,Cistus resin,Deep ambery resin
NOTE-0376,Styrax,Cinnamic esters,8046-19-3,Base,Medium,"Amber, Leather",Resin,Amber / Balsamic,"Sweet, smoky, resinous",148.16,290,Low,3.1,0.001,12–24,85.0,120.0,Alcohol,Styrax resin,Smoky balsamic base
NOTE-0399,Tonka Bean,Coumarin,91-64-5,Base,Medium,"Gourmand, Fougere",Benzopyrone,Sweet / Gourmand,"Sweet, almond, hay-like",146.14,302,Low,1.6,0.01,12–24,75.0,151.0,Alcohol,Tonka beans,Sweet warm gourmand
NOTE-0134,Coumarin,Coumarin,91-64-5,Base,Medium,"Gourmand, Fougere",Benzopyrone,Sweet / Powdery,"Sweet, hay, almond",146.14,302,Low,1.6,0.01,12–24,78.0,151.0,Alcohol,Tonka bean isolate,Sweet powdery fixative
NOTE-0205,Iso E Super,Tetramethyl acetyloctahydronaphthalenes,54464-57-2,Base,Medium,"Woody, Amber",Aromatic Ether,Woody / Amber,"Smooth, woody, velvety",234.38,275,Low,4.5,0.0006,24+,88.0,110.0,Alcohol,Synthetic,Soft diffusive woody
NOTE-0672,Guaiacwood,Guaiacol rich,8016-23-7,Base,Medium,"Woody, Smoky",Phenolic Ether,Woody / Smoky,"Smoky, tarry, woody",124.14,205,Low,2.6,0.01,8–12,65.0,79.0,Alcohol / Oil,Guaiacwood,Smoky woody note
NOTE-0046,Birch Tar,Phenolic compounds,8001-88-5,Base,Strong,"Leather, Smoky",Phenol / Tar,Leather / Smoky,"Smoky, leathery, tar-like",94.11,230,Low,2.9,0.005,12–24,85.0,96.0,Alcohol,Birch bark,Dark smoky leather
NOTE-0349,Saffron,Safranal,116-26-7,Heart,Medium,"Leather, Oriental",Aldehyde,Spicy / Leather,"Dry, leathery, spicy",150.22,230,Medium,2.1,0.01,4–6,45.0,70.0,Alcohol,Saffron stigmas,Dry leathery spice
NOTE-0015,Ambergris,Ambrein,4128-17-0,Base,Strong,"Amber, Marine",Triterpene,Amber / Marine,"Salty, animalic, warm",428.7,320,Very Low,6.0,0.0002,24+,95.0,130.0,Alcohol,Natural / synthetic,Warm marine amber
NOTE-0673,Aldehydes (C10),Decanal,112-31-2,Top,High,"Aldehydic, Floral",Aliphatic Aldehyde,Aldehydic / Fresh,"Soapy, waxy, fresh",156.27,208,High,3.8,0.02,1–2,20.0,72.0,Alcohol,Synthetic,Bright sparkling aldehyde
NOTE-0674,Aldehydes (C11),Undecylenic aldehyde,112-44-7,Top,High,"Aldehydic, Fresh",Aliphatic Aldehyde,Aldehydic / Fresh,"Metallic, citrusy",170.29,220,High,4.1,0.015,1–2,22.0,78.0,Alcohol,Synthetic,Metallic fresh lift
NOTE-0675,Aldehydes (C12 MNA),2-Methylundecanal,110-41-8,Top,Medium,"Aldehydic, Floral",Aliphatic Aldehyde,Aldehydic / Floral,"Clean, powdery, floral",184.32,240,Medium,4.5,0.01,2–3,25.0,83.0,Alcohol,Synthetic,Soft aldehydic floral
NOTE-0640,Melonal,Melonal,106-72-9,Top,Medium,"Marine, Fresh",Aldehyde,Marine / Green,"Watery, melon, fresh",156.23,190,Medium,2.6,0.02,2–3,28.0,65.0,Alcohol,Synthetic,Fresh watery melon note
NOTE-0497,Calone,Calone,,Top / Heart,Medium,"Marine, Fresh",Ketone,Marine / Ozonic,"Sea breeze, aquatic",196.29,275,Medium,3.2,0.01,4–6,40.0,98.0,Alcohol,Synthetic,Marine ozonic note
NOTE-0475,Seaweed Absolute,Fucus extract,84650-40-6,Base,Medium,"Marine, Amber",Marine Extract,Marine / Salty,"Salty, iodine, oceanic",300+,300,Low,4.0,0.001,12–24,75.0,110.0,Alcohol,Seaweed,Salty oceanic depth
NOTE-0158,Fig Leaf,Cis-3-hexenol rich,928-96-1,Top,Medium,"Green, Fruity",Green Alcohol,Green / Fruity,"Green, milky, leafy",100.16,157,High,1.5,0.03,1–2,18.0,54.0,Alcohol,Fig leaf,Green milky leaf
NOTE-0185,Green Tea,Ionones,8015-73-4,Heart,Medium,"Green, Aromatic",Ketone,Green / Tea,"Soft, dry, leafy",192.3,250,Medium,2.9,0.02,4–6,38.0,82.0,Alcohol,Tea leaves,Soft dry green tea
NOTE-0420,Violet Leaf,Ionones,8016-84-8,Heart,Medium,"Green, Floral",Ketone,Green / Floral,"Green, metallic, leafy",192.3,250,Medium,3.1,0.015,4–6,42.0,85.0,Alcohol,Violet leaves,Green metallic leaf
NOTE-0314,Pine,α-Pinene,80-56-8,Top,Medium,"Green, Woody",Terpene,Green / Resinous,"Sharp, resinous",136.23,156,High,4.0,0.03,1–2,20.0,33.0,Alcohol,Pine needles,Sharp resinous green
NOTE-0676,Fir Balsam,Bornyl acetate,90028-76-5,Heart,Medium,"Green, Balsamic",Terpenoid Ester,Balsamic / Green,"Resinous, fresh",196.29,227,Medium,3.5,0.02,4–6,40.0,78.0,Alcohol,Fir resin,Fresh balsamic resin
NOTE-0271,Myrrh,"Furanoeudesma-1,3-diene",9000-45-7,Base,Medium,"Amber, Resinous",Resin,Balsamic / Smoky,"Bitter, resinous",222.37,290,Low,4.4,0.001,12–24,80.0,110.0,Alcohol,Myrrh resin,Bitter smoky resin
NOTE-0165,Frankincense,Incensole acetate,8016-36-2,Base,Medium,"Resinous, Amber",Resin / Diterpene,Resinous / Fresh,"Citrus, incense, airy",222.37,280,Low,4.2,0.001,12–24,78.0,105.0,Alcohol,Frankincense resin,Bright incense resin
NOTE-0154,Elemi,Limonene rich,8023-89-0,Heart,Medium,"Resinous, Citrus",Terpene,Resinous / Citrus,"Peppery, lemony",136.23,176,Medium,3.8,0.02,4–6,45.0,48.0,Alcohol,Elemi resin,Citrus-peppery resin
NOTE-0284,Opoponax,Sesquiterpenes,8016-37-3,Base,Medium,"Amber, Oriental",Resin,Sweet / Balsamic,"Sweet, incense, warm",204.3,285,Low,4.0,0.001,12–24,82.0,110.0,Alcohol,Opoponax resin,Sweet balsamic resin
NOTE-0123,Cocoa,Cocoa absolute,84649-99-0,Base,Medium,Gourmand,Aromatic Extract,Gourmand,"Bitter, chocolate",300+,300,Low,3.2,0.002,12–24,70.0,120.0,Alcohol,Cocoa beans,Dark chocolate note
NOTE-0127,Coffee,Coffee absolute,84649-99-1,Base,Medium,Gourmand,Aromatic Extract,Gourmand / Roasted,"Roasted, bitter",300+,300,Low,3.5,0.002,12–24,75.0,120.0,Alcohol,Coffee beans,Dark roasted coffee
NOTE-0197,Honey,Phenylacetic acid rich,8006-66-2,Heart / Base,Medium,"Gourmand, Floral",Aromatic Acid,Sweet / Animalic,"Sweet, waxy",136.15,265,Low,1.6,0.01,6–12,55.0,93.0,Alcohol,Honey,Warm sweet honey
NOTE-0390,Tobacco,Nicotine derivatives,8037-19-2,Base,Medium,"Tobacco, Gourmand",Alkaloid,Tobacco / Sweet,"Dry, smoky, sweet",162.23,247,Low,2.7,0.002,12–24,80.0,95.0,Alcohol,Tobacco leaves,Sweet smoky tobacco
NOTE-0445,Ylang-Ylang,Benzyl acetate rich,8006-81-3,Heart,High,"Floral, Oriental",Aromatic Ester,Floral / Exotic,"Creamy, sweet, floral",164.2,290,Low,2.6,0.005,6–8,55.0,110.0,Alcohol / Oil,Ylang flowers,Creamy exotic floral
NOTE-0338,Rose,Phenethyl alcohol rich,8007-01-0,Heart,Medium,"Floral, Romantic",Aromatic Alcohol,Floral / Rose,"Fresh, dewy, rosy",122.16,219,Medium,1.4,0.01,4–6,40.0,76.0,Alcohol,Rose petals,Classic fresh rose
NOTE-0171,Geranium,Geraniol rich,8000-46-2,Heart,Medium,"Floral, Green",Terpenoid Alcohol,Floral / Green,"Rosy, green, minty",154.25,230,Medium,3.4,0.02,4–6,38.0,78.0,Alcohol,Geranium leaves,Green rosy floral
NOTE-0677,Nerol,Nerol,106-25-2,Heart,Medium,"Floral, Citrus",Terpenoid Alcohol,Floral / Citrus,"Soft, citrusy, rosy",154.25,225,Medium,2.8,0.02,3–5,35.0,77.0,Alcohol,Citrus blossoms,Soft floral citrus
NOTE-0678,Citronella,Citronellal rich,8000-29-1,Top,Medium,"Citrus, Aromatic",Terpenoid Aldehyde,Citrus / Green,"Fresh, lemony, green",154.25,206,High,3.3,0.03,1–2,22.0,68.0,Alcohol,Citronella grass,Sharp lemony green
NOTE-0679,Lemongrass,Citral,8007-02-1,Top,Medium,"Citrus, Fresh",Terpenoid Aldehyde,Citrus / Fresh,"Sharp, lemon, clean",152.23,228,High,3.0,0.02,1–2,20.0,71.0,Alcohol,Lemongrass,Bright lemon citrus
NOTE-0246,Mandarin,Limonene rich,8008-31-9,Top,Medium,"Citrus, Fruity",Terpene,Citrus / Sweet,"Sweet, juicy, soft",136.24,176,High,4.2,0.02,1–2,18.0,50.0,Alcohol,Mandarin peel,Sweet juicy citrus
NOTE-0175,Grapefruit,Nootkatone rich,8016-20-4,Top,Medium,"Citrus, Fresh",Terpenoid Ketone,Citrus / Bitter,"Bitter, fresh, sharp",218.34,279,Medium,3.9,0.01,1–2,20.0,110.0,Alcohol,Grapefruit peel,Bitter fresh citrus
NOTE-0234,Lime,Limonene rich,8008-26-2,Top,Medium,"Citrus, Fresh",Terpene,Citrus / Sharp,"Sharp, zesty, green",136.24,176,High,4.2,0.03,1–2,18.0,50.0,Alcohol,Lime peel,Sharp zesty citrus
NOTE-0680,Petitgrain Bigarade,Linalyl acetate rich,72968-50-4,Top,Medium,"Green, Citrus",Terpenoid Ester,Green / Citrus,"Bitter, leafy, fresh",196.29,220,Medium,3.0,0.02,1–3,25.0,73.0,Alcohol,Bitter orange leaves,Bitter green citrus
NOTE-0027,Apple,Hexyl acetate,142-92-7,Top,Medium,"Fruity, Fresh",Ester,Fruity / Fresh,"Juicy, crisp, sweet",144.21,171,High,2.8,0.03,1–2,18.0,58.0,Alcohol,Synthetic / fruit,Crisp apple note
NOTE-0303,Pear,Ethyl decadienoate,3025-30-7,Top,Medium,Fruity,Ester,Fruity / Sweet,"Juicy, ripe, sweet",198.3,285,Medium,3.1,0.02,1–2,20.0,102.0,Alcohol,Synthetic / fruit,Sweet juicy pear
NOTE-0302,Peach,γ-Undecalactone,104-67-6,Heart,Medium,"Fruity, Gourmand",Lactone,Fruity / Creamy,"Creamy, peachy",184.28,290,Low,3.0,0.01,4–6,40.0,118.0,Alcohol,Synthetic / fruit,Creamy peach fruit
NOTE-0327,Raspberry,Raspberry ketone,5471-51-2,Heart,Medium,"Fruity, Gourmand",Ketone,Fruity / Sweet,"Sweet, berry-like",164.2,293,Low,1.6,0.01,4–6,42.0,115.0,Alcohol,Synthetic,Sweet berry note
NOTE-0318,Pineapple,Ethyl butyrate,105-54-4,Top,Medium,"Fruity, Fresh",Ester,Fruity / Tropical,"Juicy, tropical",116.16,121,High,1.9,0.04,1–2,15.0,25.0,Alcohol,Synthetic / fruit,Bright tropical fruit
NOTE-0124,Coconut,γ-Nonalactone,104-61-0,Heart / Base,Medium,Gourmand,Lactone,Gourmand / Creamy,"Creamy, milky",170.25,280,Low,2.9,0.01,6–8,55.0,115.0,Alcohol,Synthetic,Creamy coconut
NOTE-0006,Almond,Benzaldehyde,100-52-7,Top,Medium,Gourmand,Aromatic Aldehyde,Nutty / Sweet,Bitter almond,106.12,179,High,1.5,0.03,1–2,18.0,64.0,Alcohol,Almond kernels,Bitter almond aroma
NOTE-0681,Cherry,Benzaldehyde rich,100-52-7,Top,Medium,"Fruity, Gourmand",Aromatic Aldehyde,Fruity / Almond,"Sweet, almond-like",106.12,179,High,1.5,0.03,1–2,18.0,64.0,Alcohol,Cherry pits,Sweet cherry-almond
NOTE-0320,Plum,γ-Decalactone,706-14-9,Heart,Medium,Fruity,Lactone,Fruity / Sweet,"Sweet, juicy",170.25,280,Low,2.8,0.01,4–6,40.0,112.0,Alcohol,Synthetic / fruit,Sweet ripe plum
NOTE-0157,Fig,Benzyl alcohol rich,100-51-6,Heart,Medium,"Fruity, Green",Aromatic Alcohol,Fruity / Green,"Milky, green, sweet",108.14,205,Medium,1.1,0.02,4–6,38.0,93.0,Alcohol,Fig fruit,Milky green fig
NOTE-0222,Lavender,Linalyl acetate rich,8000-28-0,Top / Heart,Medium,"Fougere, Aromatic",Terpenoid Ester,Aromatic / Floral,"Herbal, fresh, clean",196.29,220,Medium,3.0,0.02,3–5,35.0,74.0,Alcohol,Lavender flowers,Classic aromatic floral
NOTE-0116,Clary Sage,Linalyl acetate,8016-63-5,Heart,Medium,"Aromatic, Fougere",Terpenoid Ester,Aromatic / Herbal,"Herbaceous, musky",196.29,225,Medium,3.2,0.02,4–6,40.0,76.0,Alcohol,Clary sage,Musky herbal note
NOTE-0344,Rosemary,"1,8-Cineole",8000-25-7,Top,Medium,"Aromatic, Fresh",Oxide,Aromatic / Camphor,"Fresh, camphorous",154.25,176,High,2.8,0.03,1–2,20.0,49.0,Alcohol,Rosemary leaves,Sharp herbal freshness
NOTE-0388,Thyme,Thymol,8007-46-3,Heart,Medium,"Aromatic, Spicy",Phenol,Aromatic / Spicy,"Warm, medicinal",150.22,233,Medium,3.3,0.02,3–5,38.0,83.0,Alcohol,Thyme herb,Warm herbal spice
NOTE-0036,Basil,Estragole,8015-73-4,Top,Medium,"Aromatic, Green",Phenylpropene,Aromatic / Green,"Sweet, green, spicy",148.2,216,Medium,2.7,0.02,1–2,22.0,87.0,Alcohol,Basil leaves,Sweet green herb
NOTE-0264,Mint,Menthol,89-78-1,Top,Medium,"Fresh, Aromatic",Terpene Alcohol,Aromatic / Fresh,"Cooling, minty",156.27,212,Medium,3.4,0.03,1–2,20.0,93.0,Alcohol,Mint leaves,Cooling fresh mint
NOTE-0155,Eucalyptus,Eucalyptol,470-82-6,Top,Medium,"Fresh, Aromatic",Oxide,Aromatic / Camphor,"Cool, medicinal",154.25,176,High,2.7,0.03,1–2,18.0,49.0,Alcohol,Eucalyptus leaves,Cool camphor note
NOTE-0682,Tea Tree,Terpinen-4-ol,562-74-3,Top,Medium,"Aromatic, Medicinal",Terpenoid Alcohol,Medicinal / Fresh,"Clean, sharp",154.25,209,Medium,2.9,0.03,1–2,22.0,60.0,Alcohol,Tea tree leaves,Sharp medicinal fresh
NOTE-0291,Oregano,Carvacrol,499-75-2,Heart,Strong,"Spicy, Aromatic",Phenol,Spicy / Herbal,"Pungent, warm",150.22,236,Medium,3.4,0.02,3–5,40.0,90.0,Alcohol,Oregano leaves,Warm pungent herb
NOTE-0350,Sage,Thujone rich,8016-65-7,Heart,Medium,"Aromatic, Herbal",Ketone,Herbal / Dry,"Dry, earthy",152.23,201,Medium,2.6,0.02,3–5,38.0,70.0,Alcohol,Sage leaves,Dry earthy herb
NOTE-0053,Black Pepper,Piperine,94-62-2,Heart,Medium,"Spicy, Woody",Alkaloid,Spicy / Dry,"Dry, hot, woody",285.34,130,Low,2.9,0.01,4–6,45.0,70.0,Alcohol,Peppercorns,Dry woody spice
NOTE-0319,Pink Pepper,Limonene rich,8015-91-6,Top,Medium,"Spicy, Fresh",Terpene,Spicy / Fresh,"Rosy, peppery",136.24,176,High,4.0,0.02,1–2,20.0,50.0,Alcohol,Pink pepper berries,Fresh spicy sparkle
NOTE-0277,Nutmeg,Sabinene rich,8008-45-5,Heart,Medium,"Spicy, Woody",Terpene,Spicy / Warm,"Warm, nutty",136.24,163,Medium,4.1,0.02,4–6,40.0,49.0,Alcohol,Nutmeg seed,Warm nutty spice
