Perfume_ID,Perfume_Name,Brand,Fragrance_Family,Main_Accords,Top_Notes,Middle_Notes,Base_Notes,Gender,Season,Longevity,Sillage,Description,Mood_Vibe,Occasion
P000011,Dunhill Icon,Alfred Dunhill,Woody Aromatic,aromatic; fresh spicy; citrus; woody; warm spicy; earthy; white floral; green; lavender; floral,Neroli; Bergamot; Black Pepper; Petitgrain,Black Pepper; Lavender; Cardamom; Juniper Berries; Sage,"Vetiver, Oakmoss",Men,spring; summer; fall; day,moderate,moderate,"Dunhill Icon is a masculine fragrance characterized by its fresh, woody, and spicy scent profile. The original Eau de Parfum features top notes of bergamot and neroli, a heart of black pepper, cardamom, and lavender, and a base of vetiver and oakmoss. It's designed to be a modern and classic scent, suitable for evening wear",,
P000012,Abercrombie & Fitch Fierce,A&F,Woody Aromatic,aromatic; woody; citrus; fresh spicy; musky; fresh; earthy; powdery; sweet; white floral,Fir; Lemon; Orange; Sea Notes; Petitgrain; Cardamom,Rosemary; Lily-of-the-Valley; Jasmine; Sage; Rose,Musk; Vetiver; Oakmoss; Brazilian Rosewood; Sandalwood,Men,spring; summer; fall; day,moderate,moderate,"Abercrombie & Fitch Fierce is a woody-aromatic cologne that features a fresh opening of lemon, orange, and marine notes, a heart of florals like jasmine and rosemary, and a warm base of musk, vetiver, and sandalwood. It is described as a bold, masculine, and confident scent, which has been reformulated over time to be a bit cleaner and less sweet. The fragrance is often associated with a youthful, energetic, and magnetic profile.",,
P000013,Chanel Allure Homme Sport,Chanel,Woody Aromatic,aromatic; woody; fresh spicy; citrus; green; vanilla; sweet; musky; amber; warm spicy,Mandarin Orange; Mint; Cypress; Sage,Pepper,Tonka Bean; Musk; Sandalwood; Cedar,Men,spring; summer; fall; day; night,moderate,moderate,"Chanel Pour Homme Sport is a fresh, woody citrus-aromatic fragrance for men that combines invigorating freshness with sensual warmth. It features a blend of sparkling citrus top notes like mandarin and aldehydes, a heart of spicy pepper, neroli, and cedar, and a base of sweet and warm tonka bean, vanilla, amber, vetiver, and white musk. This scent is designed for the ""man in motion"" who is active and seeks to push his limits, offering a balanced and versatile fragrance.",,
P000014,Burberry Mr. Burberry EDP,Burberry,Woody Aromatic,warm spicy; aromatic; woody; fresh spicy; patchouli; amber; green; citrus; earthy; lavender,Cardamom; Mint; Grapefruit; Tarragon,"Cedar, Nutmeg, Lavender",Patchouli; Cinnamon; Amber; Benzoin; Vetiver; Sandalwood,Men,winter; spring; summer; fall; day; night,moderate,moderate,"It features fresh tarragon and cinnamon at the top, with heart notes of cedar and lavender, and a rich base of patchouli, vetiver, and amber that evokes the mystery of London at night. The bottle is a dark lacquered design inspired by the iconic Burberry trench coat, with a cap that mimics horn-look buttons and a hand-tied gabardine knot around the neck.",,
P000015,Coach for Men,Coach,Woody Aromatic,citrus; aromatic; amber; fresh spicy; fruity; woody; sweet; warm spicy; lavender; animalic,Pear; Bergamot; Kumquat; Lavender; Grapefruit,Cardamom; Geranium; Coriander,Ambergris; Suede; Amberwood; Haitian Vetiver,Men,spring; summer; fall; day,moderate,moderate,"Coach for Men is a fragrance described as energetic, confident, and cool, embodying a modern, American, New York-inspired spirit. Its scent profile is complex and masculine, opening with fresh and fruity top notes like green Nashi pear or bergamot, followed by spicy heart notes such as cardamom, and settling into an earthy, woody base of vetiver layered with notes like suede and ambergris.",,
P000016,Givenchy Gentleman Boisée,Givenchy,Woody Aromatic,woody; warm spicy; powdery; iris; fresh spicy; cacao; aromatic; earthy; violet,Black Pepper; Geranium; Coriander,Iris; Cacao Pod; Cedar,Woodsy Notes; Sandalwood; Patchouli,Men,winter; spring; fall; day; night,moderate,moderate,"described as representing the contrast between strength and gentleness. It opens with spicy top notes of black pepper and coriander, which transition to a warm heart of iris and cocoa. The base is a sensual and woody mix of sandalwood, patchouli, and oriental notes, creating a sophisticated and lasting scent.",,
P000017,Mercedes-Benz Man Blue,Mercedes-Benz,Aromatic Fougère,fresh spicy; lavender; aromatic; citrus; amber; musky; vanilla; powdery; warm spicy; sweet,Bergamot; Pepper,Lavender; Tonka Bean,Musk; Amber,Men,spring; summer; day,moderate,moderate,"It features a fresh and sparkling opening of bergamot and pepper, leading into a heart of lavender and tonka bean, and a warm, sensual base of musk and amber. The scent is described as elegant, modern, and a fresh, energetic take on masculine sophistication",,
P000018,John Varvatos Artisan Pure,John Varvatos,Citrus Aromatic,citrus; aromatic; fresh spicy; herbal; woody,Clementine; Lemon; Mandarin Orange; Bergamot; Thyme; Marjoram,Petitgrain; Ginger,Woody Notes; Musk; Orris Root; Amber,Men,Summer/spring,Moderate,Moderate,"John Varvatos Artisan Pure is a crisp, woody citrus fragrance for men inspired by the citrus groves of Xalapa, Mexico. It features a fresh, invigorating opening with notes like lemon, bergamot, and clementine, which then evolves into a more complex heart of petitgrain, ginger, and other herbs. The scent finishes with a clean, warm base of woods, amber, and musk. It's considered a versatile, casual scent ideal for warm weather.",,
P000019,Jimmy Choo Man Ice,Jimmy Choo,Woody Aromatic,citrus; woody; musky; aromatic; fresh spicy,Citron; Bergamot; Mandarin Orange,Apple; Cedar; Vetiver; Patchouli,Musk; Ambroxan; Moss,Men,Summer day,moderate,Moderate,"Jimmy Choo Man Ice is a woody-aromatic fragrance for men, described as a fresh, clean, and sophisticated scent with a citrusy opening and a musky, woody dry-down. It features top notes of mandarin, bergamot, and cedrat, heart notes of apple, cedarwood, vetiver, and patchouli, and a base of musk, moss, and ambroxan. The scent is often recommended for daytime wear in spring and summer due to its bright and fresh character.",,
P000020,Bvlgari Man Wood Essence,Bvlgari,Woody Aromatic,woody; aromatic; citrus; amber; fresh spicy,citruses with sugar; Lemon Zest; Coriander Leaf,Cypress; Cedar; Vetiver,Benzoin,Men,spring; summer; fall; day; night,moderate,moderate,"Bvlgari Man Wood Essence Eau de Parfum (100ml) | Harrods UKBvlgari Man Wood Essence is a woody aromatic men's fragrance that blends the energy of the city with the grounding power of nature. It opens with a bright mix of citrus and coriander, transitions to a heart of cypress wood and Haitian vetiver, and finishes with a warm base of cedarwood and benzoin, designed to connect the wearer to the outdoors. The scent aims to be an invigorating and sophisticated fragrance with a powerful, yet natural, feel.",,
P000021,Azzaro Pour Homme,Azzaro,Aromatic Fougère,aromatic; woody; fresh spicy; earthy; lavender; mossy; leather; citrus; powdery; warm spicy,Lavender; Lemon; Caraway; Basil; Bergamot; Clary Sage; Iris; Star Anise,Vetiver; Sandalwood; Cedar; Patchouli; Juniper Berries; Cardamom,Oakmoss; Leather; Amber; Musk; Tonka Bean,Men,winter; spring; fall; day; night,long lasting,moderate,"Azzaro Pour Homme is a classic aromatic fougère fragrance for men launched in 1978, known for its timeless, charismatic masculinity and lively, powerful trail. It combines natural sensuality with an iconic signature that features a fresh opening of citrus and spices, a heart of precious woods, and a warm, leathery, and musky base. The scent is often described as having a classic barber shop feel and is well-suited for cooler seasons.",,
P000022,Boss Bottled Infinite,Hugo Boss,Woody Aromatic,woody; aromatic; lavender; warm spicy; fresh spicy; fruity; cinnamon; herbal; fresh; citrus,Apple; Cinnamon; Sage; Mandarin Orange,Lavender; Rosemary; Patchouli,Sandalwood; Olive Tree,Men,spring; summer; fall; day,moderate,moderate,"BOSS Bottled Infinite is a woody aromatic fragrance for men that combines fresh citrus notes with warm, deep woody and aromatic scents. It opens with bright top notes of mandarin, apple, cinnamon, and sage, transitions to a heart of lavender, rosemary, and patchouli, and finishes with a smooth base of sandalwood and olive wood. It is designed to be an energizing, sensual, and long-lasting eau de parfum suitable for the modern man.",,
P000023,Issey Miyake L’Eau d’Issey Pour Homme,Issey Miyake,Woody Aromatic,citrus; woody; aromatic; fresh spicy; floral; warm spicy; green; powdery; herbal; sweet,Yuzu; Cypress; Lemon Verbena; Bergamot; Lemon; Sage; Mandarin Orange; Coriander; Tarragon,Blue Lotus; Nutmeg; Saffron; Ceylon Cinnamon; Lily-of-the-Valley; Mignonette; Bourbon Geranium,Tahitian Vetiver; Cedar; Sandalwood; Musk,Men,spring; summer; day,long lasting,strong,"L’Eau d’Issey pour Homme Edition Bois (Wood & Wood) is an intense, woody-spicy fragrance for men, characterized by powerful wood notes like cedarwood and sandalwood, balanced with invigorating citrus and spicy elements. It features a vibrant blend of grapefruit, cardamom, and elemi in the top notes, which evolves into a heart of cedarwood, sandalwood, and apricot, before settling into a base of vetiver, patchouli, and musk. The fragrance is designed to embody strength and masculinity, with a dynamic and long-lasting scent.",,
P000024,Creed Green Irish Tweed,Creed,Aromatic Fougère,ozonic; aquatic; woody; powdery; iris; amber; animalic; violet; balsamic; green,Iris; Vervain,Violet Leaf,Ambergris; Sandalwood,Men,spring; summer; fall; day,long lasting,moderate,"Creed - Green Irish Tweed : r/DesiFragranceAddictsGreen Irish Tweed by Creed is a fresh, woody, and aromatic fougère fragrance that evokes the Irish countryside with notes of fresh cut grass, peppermint, lemon, and verbena, layered over a heart of floral notes like geranium and violet, and grounded by a base of woody notes including sandalwood, cedarwood, oakmoss, and ambroxan. Inspired by the connection between nature and tailoring, it is often described as timeless and elegant, like a perfectly tailored suit.",,
P000025,Tom Ford Fougère d’Argent,Tom Ford,Aromatic Fougère,woody; lavender; aromatic; oud; fresh spicy; warm spicy; vanilla; sweet; citrus; balsamic,Lavender; Ginger; Mandarin Orange,Akigalawood; Labdanum,Coumarin,Men,winter; spring; summer; fall; day; night,long lasting,Moderate,"Fougère d'Argent is a bold reimagining of the classic fougère, a structure that traditionally revolves around lavender, oakmoss, and coumarin. With oakmoss no longer available, Tom Ford has re-worked the model in a provocative manner, substituting moss with Akigalawood, a Givaudan captive derived from patchouli that has a wonderfully spicy, woodsy bitterness. What emerges from Ford's confident handling is a scent that smells truly masculine – earthy, herbaceous, and rich, with a radiantly spiced muskiness that billows around its wearer.",,
P000026,CK One,Calvin Klein,Citrus Aromatic,"citrus, green, aromatic, musky","Bergamot, Lemon, Mandarin Orange, Pineapple, Papaya, Cardamom, Green Notes","Jasmine, Lily-of-the-Valley, Rose, Nutmeg, Orris Root, Violet","Musk, Cedar, Sandalwood, Oakmoss, Amber",Unisex,"spring, summer, day",moderate,moderate,Iconic clean citrus-aromatic with a musky dry-down; effortless and universally wearable.,,
P000027,Acqua di Parma Colonia,Acqua di Parma,Citrus Aromatic,citrus; aromatic; fresh spicy; woody; lavender; fresh; musky,"Sicilian Lemon, Sweet Orange, Calabrian Bergamot","Lavender, Bulgarian Rose, Verbena, Rosemary","Vetiver, Patchouli, Sandalwood",Unisex,"spring, summer, day",moderate,moderate,Timeless Italian cologne marrying zesty citrus with herbal aromatics and refined woods.,,
P000028,Guerlain Aqua Allegoria Herba Fresca,Guerlain,Aromatic Green,green; aromatic; citrus; fresh spicy; fresh; floral,Lemon; Clover,Mint; Green Tea,Lily-of-the-Valley; Cyclamen,Unisex,"spring, summer, day",moderate,moderate,Dewy greens and mint over tea and musk; crisp garden-fresh lift.,,
P000029,Jo Malone Lime Basil & Mandarin,Jo Malone,Citrus Aromatic,citrus; aromatic; fresh spicy; green; woody; herbal,Lime; Mandarin Orange; Bergamot,Basil; Thyme; Lilac; Iris,Vetiver; Patchouli,Unisex,"spring, summer, day",moderate,moderate,Peppery basil brightens citrus; modern aromatic twist with a woody base.,,
P000030,Diptyque Eau des Sens,Diptyque,Citrus Aromatic,citrus; white floral; musky; woody; aromatic; fresh spicy; amber; patchouli; sweet; powdery,Orange Blossom; Bitter Orange,Juniper Berries,Angelica; Patchouli,Unisex,"spring, summer, day",moderate,moderate,Vibrant orange blossom with aromatic angelica and a textured woody base.,,
P000031,Atelier Cologne Orange Sanguine,Atelier Cologne,Citrus Aromatic,citrus; fresh spicy; aromatic; fresh; woody,Blood Orange; Bitter Orange; Blood Mandarin,African Geranium; Egyptian Jasmine; Madagascar Pepper,Sandalwood; Amber; Tonka Bean; Texas Cedar,Unisex,"spring, summer, day",moderate,moderate,Juicy blood orange framed by aromatic florals and soft woods; sunshine in a bottle.,,
P000032,Mugler Cologne (Come Together),Mugler,Citrus Aromatic,musky; citrus; aromatic; green; powdery; fresh spicy; herbal; white floral; woody,"Bergamot, Neroli",Petitgrain,White Musk,Unisex,"spring, summer, day",moderate,moderate,Soapy-clean citrus-aromatic with airy musk; minimalist and addictive.,,
P000033,Bvlgari Eau Parfumée au Thé Vert,Bvlgari,Citrus Aromatic,citrus; fresh spicy; aromatic; white floral; green; warm spicy; woody; fresh; soft spicy,Bergamot; Coriander; Pepper; Orange; Orange Blossom,Cardamom; Jasmine; Bulgarian Rose,Green Tea; Woody Notes,Unisex,"spring, summer, day",moderate,soft,Elegant green tea and citrus over sheer woods; calming and refined.,,
P000034,Bvlgari Eau Parfumée au Thé Blanc,Bvlgari,Aromatic,fresh spicy; musky; citrus; green; aromatic; white floral; herbal; warm spicy; fresh; powdery,Tea; Artemisia; Bergamot; Orange Blossom; Bitter Orange,Pepper; Cardamom; Coriander,Musk; Woody Notes; Jasmine; Amber; Rose,Unisex,"spring, fall, day",moderate,soft,"Soft white tea with aromatic musk; serene, intimate, and clean.",,
P000035,Maison Margiela Replica Sailing Day,Maison Margiela,Aromatic Aquatic,marine; aromatic; aldehydic; aquatic; woody; fresh; amber; salty,Sea Notes; Aldehydes; Coriander; Red Pepper,Juniper; Iris; Amyl Salicylate; Rose,Seaweed; Ambergris; Cedar; Amberwood,Unisex,"spring, summer, day",moderate,moderate,Ozonic sea breeze with juniper and aromatics; airy maritime freshness.,,
P000036,Hermès Eau de Basilic Pourpre,Hermès,Aromatic Green,fresh spicy; aromatic; citrus; green; warm spicy; herbal; patchouli,Bergamot,Basil; Geranium,Spices; Patchouli,Unisex,"spring, summer, day",weak,intimate,Vibrant purple basil elevated by citrus and luminous florals; crisp and modern.,,
P000037,Creed Silver Mountain Water,Creed,Aromatic,citrus; green; fruity; musky; woody; aromatic; powdery; fresh spicy; fresh; floral,Bergamot; Mandarin Orange,Green Tea; Black Currant,Musk; Sandalwood; Petitgrain; Galbanum,Unisex,"spring, summer, day",moderate,moderate,Cool tea and citrus over musky woods; alpine-clean elegance.,,
P000038,Creed Virgin Island Water,Creed,Citrus Aromatic,citrus; tropical; sweet; coconut; white floral; fruity; patchouli; vanilla; woody; musky,Tropical Fruits; Lime; Bergamot,Coconut Milk; White Flowers; Jasmine,Patchouli; Tonka Bean; White Musk,Unisex,"summer, day",moderate,moderate,Zesty lime and aromatic ginger with a breezy rum accord; vacation energy.,,
P000039,Jo Malone Basil & Neroli,Jo Malone,Aromatic Green,fresh spicy; aromatic; green; citrus; white floral; fresh; musky; herbal; woody; floral,Basil,Neroli,White Musk; Vetiver,Unisex,"spring, summer, day",moderate,moderate,Herbal basil weaves through luminous neroli and blossoms; fresh yet chic.,,
P000040,Guerlain Eau de Cologne Impériale,Guerlain,Citrus Aromatic,citrus; aromatic; fresh spicy; fresh; woody,"Lemon, Bergamot, Orange","Neroli, Rosemary","Tonka, Woods",Unisex,"spring, summer, day",Very weak,intimate,"Historic cologne: sparkling citrus and aromatic herbs with a gentle, elegant base.",,
P000041,Prada Infusion de Mandarine,Prada,Citrus Aromatic,citrus; white floral; sweet; green; fresh spicy,Green Mandarin; Orange; Orange Peel; Mandarin Leaf,"Orange Blossom, Neroli",Opoponax,Unisex,"spring, summer, day",moderate,moderate,Transparent mandarin infused with neroli and musks; airy and modern.,,
P000042,Issey Miyake A Scent,Issey Miyake,Aromatic Green,citrus; green; floral; aromatic; fresh spicy; woody; white floral; herbal,"Lemon Verbena, Green Notes","Galbanum, Jasmine","Cedar, Musk",Female,"spring, summer, day",moderate,soft,Minimalist green-citrus with crisp galbanum and sheer woods; ultra-clean.,,
P000043,Chanel Cristalle Eau Verte,Chanel,Citrus Aromatic,citrus; floral; white floral; aromatic; fresh spicy,Amalfi Lemon; Bergamot,Neroli; Magnolia,Jasmine; Iris; Musk,Female,"spring, summer, day",moderate,moderate,"Sparkling, dewy citrus with green florals and elegant vetiver.",,
P000044,Versace Versense,Versace,Woody Aromatic,citrus; woody; fresh spicy; aromatic; white floral; powdery,Bergamot; Citruses; Green Mandarin; Fig; Pear,Cardamom; Lily; Jasmine; Narcissus,Virginia Cedar; Musk; Olive Tree; Sandalwood,Female,"spring, summer, day",moderate,moderate,Crisp Mediterranean citrus and greens over aromatic woods; energetic and bright.,,
P000045,Davidoff Cool Water Woman,Davidoff,Aromatic Aquatic,rose; citrus; woody; fruity; floral; musky; amber; sweet,Mandarin Orange; Pear,Rose,Cashmere Wood,Female,"summer, day",moderate,moderate,Oceanic freshness with watery florals and clean aromatics; breezy classic.,,
P000046,Elizabeth Arden Green Tea,Elizabeth Arden,Citrus Aromatic,citrus; green; aromatic; fresh spicy; fresh,Lemon; Bergamot; Mint; Orange Peel; Rhubarb,Jasmine; Musk; Oakmoss; Fennel; Carnation; White Amber,Green Tea; Jasmine; Musk; Oakmoss; Celery Seeds; Caraway; Cloves; Amber,Female,"spring, summer, day",very weak,moderate,Uplifting citrus-tea with minty aromatics; effortless daily freshness.,,
P000047,Maison Francis Kurkdjian Aqua Celestia,MFK,Citrus Aromatic,green; citrus; musky; aromatic; powdery; fresh spicy; fruity; floral; yellow floral; sweet,Lime; Mint; Black Currant; Neroli,Green Notes; Mimosa; Rose,White Musk,Unisex,"spring, summer, day",moderate,moderate,Airy lime-mint and blackcurrant over clean musks; serene and luminous.,,
P000048,Diptyque L’Eau de Néroli,Diptyque,Citrus Aromatic,citrus; white floral; aromatic; fresh spicy; fresh,Citruses; Bergamot; Lemon Verbena; Petitgrain; Tarragon,Neroli; Orange Blossom; Egyptian Pelargonium,Beeswax; White Musk; Cedar,Unisex,"spring, summer, day",moderate,moderate,Classic neroli with petitgrain’s green bite and a soft musky base.,,
P000049,Hermès Un Jardin sur le Nil,Hermès,Citrus Aromatic,citrus; aromatic; floral; fresh spicy; green; fruity; tropical; powdery; herbal; sweet,Grapefruit; Green Mango; Tomato; Carrot,Lotus; Bulrush; Orange; Hiacynth; Peony,Musk; Iris; Incense; Labdanum; Cinnamon,Unisex,"spring, summer, day",moderate,moderate,Lush green-citrus voyage with airy aromatics and transparent woods.,,
P000050,Guerlain Aqua Allegoria Mandarine Basilic,Guerlain,Citrus Aromatic,citrus; fresh spicy; green; aromatic; fresh; sweet,Clementine; Bitter Orange; Orange Blossom; Green Tea; Ivy,Mandarin Orange; Basil; Chamomile; Peony,Sandalwood; Amber,Female,"spring, summer, day",moderate,moderate,Juicy mandarin paired with aromatic basil and tea; sparkling and joyful.,,
P000051,Jo Malone Wild Mint & Basil,Jo Malone,Aromatic Green,green; aromatic; white floral; fresh spicy; citrus; woody; floral; herbal; fresh,Mint; Bergamot; Chamomile; Coriander; Cardamom; Black Currant,Jasmine; Orange Blossom; Lily-of-the-Valley; Ylang-Ylang; May Rose,Tea; Vetiver; Cedar; Musk; Dried Plum; Guaiac Wood,Unisex,"spring, summer, day",moderate,soft,Cooling mint and basil with herbal depth; crisp and refreshing.,,
P000052,Chanel Coco Mademoiselle,Chanel,Floral Chypre,citrus; woody; patchouli; sweet; white floral; rose; earthy; vanilla; warm spicy; yellow floral,Orange; Mandarin Orange; Bergamot; Orange Blossom,Turkish Rose; Jasmine; Mimosa; Ylang-Ylang,Patchouli; White Musk; Vanilla; Vetiver; Tonka Bean; Opoponax,Female,winter; spring; summer; fall; day; night,long lasting,strong,"A crisp silk scarf fluttering through a Parisian breeze — elegant, rebellious, and endlessly modern.",,
P000053,Gucci Bloom,Gucci,Floral,white floral; tuberose; floral; animalic; green,Jasmine,Tuberose,Rangoon Creeper,Female,"spring, summer, day",moderate,moderate,"A secret garden at twilight, where vines twist and blossoms whisper stories of wild femininity.",,
P000054,Dior J’adore EDP,Dior,Floral Fruity,white floral; floral; fruity; sweet; fresh; aquatic; citrus; powdery; tuberose; ozonic,Pear; Melon; Magnolia; Peach; Mandarin Orange; Bergamot,Jasmine; Lily-of-the-Valley; Tuberose; Freesia; Rose; Orchid; Violet; Plum,Musk; Vanilla; Cedar; Blackberry,Female,spring; summer; fall; day; night,moderate,moderate,"Golden light pouring through cathedral windows — radiant, graceful, and impossibly refined.",,
P000055,Viktor & Rolf Flowerbomb,Viktor & Rolf,Floral Oriental,floral; patchouli; white floral; woody; powdery; citrus; sweet; musky; warm spicy; rose,Tea; Bergamot; Osmanthus,Orchid; Jasmine; Rose; Freesia; African Orange Flower,Patchouli; Musk; Vanilla,Female,winter; spring; fall; day; night,long lasting,moderate,"A velvet explosion of petals in a gilded ballroom — decadent, dramatic, and unapologetically bold.",,
P000056,Marc Jacobs Daisy,Marc Jacobs,Floral Fruity,white floral; ozonic; powdery; violet; citrus; aquatic; fruity; sweet; woody; musky,"Strawberry, Violet Leaf, Blood Grapefruit","Gardenia, Jasmine, Violet","Musk, White Woods, Vanilla",Female,"spring, summer, day",moderate,moderate,"A carefree laugh in a sun-drenched meadow — youthful, playful, and kissed by spring.",,
P000057,e Labo Rose 31,Le Labo,Floral Woody Musk,woody; rose; fresh spicy; aromatic; musky; amber; earthy; powdery; oud,"Rose, Cumin","Vetiver, Cedar, Rose",Musk; Guaiac Wood; Agarwood (Oud); Olibanum; Labdanum,Unisex,"spring, fall, day, night",long lasting,moderate,"A rose with secrets — shadowed, smoldering, and wrapped in mystery.",,
